,text,language_code,text_code,n_chars,script_name,script_type,language,language_family,language_sub_family,font,oreintation,characters,consonants,vowels,secondary_type,path,text_width,text_pixels
72,together,en,72,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_19.jpeg,137,1208
73,white,en,73,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_20.jpeg,84,758
74,children,en,74,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_21.jpeg,127,1018
75,begin,en,75,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_22.jpeg,87,814
76,example,en,76,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_23.jpeg,133,1164
77,paper,en,77,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_24.jpeg,91,823
78,group,en,78,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_25.jpeg,95,832
79,always,en,79,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_26.jpeg,101,982
80,music,en,80,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_27.jpeg,90,687
81,those,en,81,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_28.jpeg,87,747
82,often,en,82,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_29.jpeg,84,711
83,letter,en,83,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_30.jpeg,85,713
84,until,en,84,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_31.jpeg,70,531
85,river,en,85,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_32.jpeg,70,545
86,second,en,86,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_33.jpeg,111,938
87,carry,en,87,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_34.jpeg,78,633
88,science,en,88,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_35.jpeg,113,930
89,friend,en,89,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_36.jpeg,93,782
90,began,en,90,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_37.jpeg,98,917
91,mountain,en,91,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_38.jpeg,151,1159
92,horse,en,92,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_39.jpeg,89,725
93,watch,en,93,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_40.jpeg,92,806
94,color,en,94,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_41.jpeg,79,616
95,enough,en,95,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_42.jpeg,122,1030
96,plain,en,96,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_43.jpeg,75,651
97,usual,en,97,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_44.jpeg,84,668
98,young,en,98,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_45.jpeg,99,875
99,ready,en,99,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_46.jpeg,87,804
100,above,en,100,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_47.jpeg,93,849
101,though,en,101,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_48.jpeg,115,981
102,family,en,102,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_49.jpeg,93,835
103,direct,en,103,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_50.jpeg,88,742
104,leave,en,104,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_51.jpeg,81,733
105,measure,en,105,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_52.jpeg,137,1101
106,product,en,106,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_0.jpeg,123,1015
107,black,en,107,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_1.jpeg,81,726
108,short,en,108,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_2.jpeg,82,655
109,numeral,en,109,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_3.jpeg,133,1008
110,class,en,110,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_4.jpeg,73,635
111,question,en,111,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_5.jpeg,135,1136
112,happen,en,112,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_6.jpeg,119,1046
113,complete,en,113,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_7.jpeg,146,1237
114,order,en,114,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_8.jpeg,87,705
115,south,en,115,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_9.jpeg,89,717
116,problem,en,116,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_10.jpeg,133,1117
117,piece,en,117,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_11.jpeg,81,732
118,since,en,118,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_12.jpeg,78,637
119,whole,en,119,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_13.jpeg,94,833
120,space,en,120,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_14.jpeg,88,797
121,heard,en,121,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_15.jpeg,92,785
122,better,en,122,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_16.jpeg,96,833
123,during,en,123,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_17.jpeg,103,868
124,hundred,en,124,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_18.jpeg,136,1099
125,remember,en,125,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_19.jpeg,167,1325
126,early,en,126,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_20.jpeg,76,682
127,ground,en,127,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_21.jpeg,116,972
128,interest,en,128,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_22.jpeg,119,982
129,reach,en,129,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_23.jpeg,88,707
130,listen,en,130,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_24.jpeg,83,697
131,table,en,131,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_25.jpeg,78,717
132,travel,en,132,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_26.jpeg,88,745
133,morning,en,133,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_27.jpeg,134,1061
134,simple,en,134,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_28.jpeg,101,872
135,several,en,135,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_29.jpeg,110,951
136,vowel,en,136,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_30.jpeg,89,811
137,toward,en,137,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_31.jpeg,109,973
138,against,en,138,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_32.jpeg,111,1023
139,pattern,en,139,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_33.jpeg,116,974
140,center,en,140,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_34.jpeg,101,795
141,person,en,141,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_35.jpeg,109,903
142,money,en,142,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_36.jpeg,107,890
143,serve,en,143,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_37.jpeg,83,707
144,appear,en,144,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_38.jpeg,109,992
145,govern,en,145,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_39.jpeg,110,946
146,notice,en,146,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_40.jpeg,95,775
147,voice,en,147,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_41.jpeg,78,670
148,power,en,148,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_42.jpeg,98,876
149,certain,en,149,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_43.jpeg,107,856
150,machine,en,150,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_44.jpeg,133,1055
151,figure,en,151,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_45.jpeg,93,824
152,field,en,152,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_46.jpeg,67,633
153,correct,en,153,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_47.jpeg,111,850
154,pound,en,154,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_48.jpeg,102,852
155,beauty,en,155,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_49.jpeg,106,968
156,drive,en,156,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_50.jpeg,76,660
157,stood,en,157,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_51.jpeg,87,777
158,contain,en,158,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_52.jpeg,115,912
159,front,en,159,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_0.jpeg,79,619
160,teach,en,160,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_1.jpeg,86,729
161,final,en,161,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_2.jpeg,67,573
162,green,en,162,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_3.jpeg,93,809
163,quick,en,163,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_4.jpeg,82,697
164,develop,en,164,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_5.jpeg,123,1130
165,ocean,en,165,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_6.jpeg,94,774
166,minute,en,166,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_7.jpeg,111,852
167,strong,en,167,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_8.jpeg,102,871
168,special,en,168,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_9.jpeg,104,938
169,behind,en,169,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_10.jpeg,108,937
170,clear,en,170,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_11.jpeg,76,619
171,produce,en,171,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_12.jpeg,130,1085
172,street,en,172,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_13.jpeg,91,774
173,multiply,en,173,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_14.jpeg,125,1067
174,nothing,en,174,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_15.jpeg,122,1024
175,course,en,175,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_16.jpeg,105,825
176,wheel,en,176,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_17.jpeg,93,837
177,force,en,177,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_18.jpeg,81,666
178,object,en,178,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_19.jpeg,95,868
179,decide,en,179,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_20.jpeg,101,927
180,surface,en,180,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_21.jpeg,115,945
181,island,en,181,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_22.jpeg,90,785
182,system,en,182,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_23.jpeg,108,954
183,record,en,183,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_24.jpeg,103,824
184,common,en,184,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_25.jpeg,139,1045
185,possible,en,185,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_26.jpeg,125,1151
186,plane,en,186,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_27.jpeg,87,759
187,stead,en,187,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_28.jpeg,84,780
188,wonder,en,188,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_29.jpeg,119,1016
189,laugh,en,189,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_30.jpeg,89,788
190,thousand,en,190,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_31.jpeg,148,1225
191,check,en,191,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_32.jpeg,90,743
192,shape,en,192,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_33.jpeg,93,841
193,equate,en,193,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_34.jpeg,109,965
194,brought,en,194,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_35.jpeg,128,1095
195,bring,en,195,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_36.jpeg,82,722
196,distant,en,196,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_37.jpeg,105,918
197,paint,en,197,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_38.jpeg,78,680
198,language,en,198,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_39.jpeg,146,1347
199,among,en,199,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_40.jpeg,110,940
200,grand,en,200,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_41.jpeg,93,827
201,heart,en,201,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_42.jpeg,84,692
202,present,en,202,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_43.jpeg,120,1011
203,heavy,en,203,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_44.jpeg,90,827
